Date,ID,Name,Region,Rating,Product,Quantity,Price Per Unit,Total Value,
1/31/2021,1,John Smith   ,North,Good,Magic Wand,10,20,200,Short Report on Data Cleaning & Insights
2021-02-28 00:00:00,2,Jane Doe,East,Excelent,Unicorn Horn,15,10,150,
2021-04-30 00:00:00,4,Anna   Belle,South,Average,Fairy Dust,25,10,250,Data Cleaning Steps:
2021-05-31 00:00:00,5,Chris P. Bacon,East,Good,Bacon Scented Candle,30,16.67,500.1,
2021-07-31 00:00:00,7,Mary Jane,West,Poor,Potent Potion,35,10,350,1. Duplicate Removal: Eliminated duplicate rows to ensure unique records.
2021-08-31 00:00:00,8,Bruce Wayne,South,Average,Bat Signal,40,15,600,
2021-09-30 00:00:00,9,Clark Kent,East,Good,Glasses with X-ray Vision,45,12.22,549.9,
2021-10-31 00:00:00,10,Diana Prince,North,Excelent,Lasso of Truth,50,14,700,"2. Handling Infinite Values: Removed rows where ""Price Per Unit"" had infinite values."
2021-11-30 00:00:00,11,Tony Stark,West,Poor,Iron Man Suit,5,160,800,
2021-12-31 00:00:00,12,Steve Rogers,South,Average,Captain America Shield,20,45,900,
2022-03-31 00:00:00,15,Nick Fury,West,Poor,Eye Patch,35,34.29,1200.15,"3. Formatting Numeric Columns: Ensured ""Quantity"" and ""Price Per Unit"" were correctly formatted for calculations."
2022-05-31 00:00:00,17,Peggy Carter,East,Good,Vintage Pistol,40,35,1400,
2022-06-30 00:00:00,18,Howard Stark,North,Excelent,Arc Reactor,45,33.33,1499.85,
2022-07-31 00:00:00,19,Hank Pym,West,Poor,Ant-Man Suit,50,32,1600,4. Total Value Calculation: Added a new column (Total Value = Quantity × Price Per Unit).
2022-08-31 00:00:00,20,Janet van Dyne,South,Average,Wasp's Wings,55,30.91,1700.05,
2022-09-30 00:00:00,21,Kurt Busiek,East,Good,Comic Book,60,30,1800,
2022-11-30 00:00:00,23,Roger Stern,West,Poor,Notepads,65,30.77,2000.05,
2022-12-31 00:00:00,24,Tom DeFalco,South,Average,Pen Set,70,30,2100,Insights from the Cleaned Data:
2023-01-31 00:00:00,25,Loki Laufeyson,Asgard,Mischief,Trickster's Hat,75,29.33,2199.75,
2023-02-28 00:00:00,26,Thor Odinson,Asgard,Worthy,Mjolnir,80,28.75,2300,"The South region had the highest total sales value (?8,049.90) and the highest quantity sold (295 units)."
,28,Steve Rogers,South,Leader,Leadership Manual,85,29.41,2499.85,
,,,,,,,,,
,,,Regional Analysis,,,,,,"Asgard had the lowest total quantity sold (155 units) but a moderate total value (?4,499.75)."
,,,Region,Total_Quantity_Sold,Total_Value,,,,
,,,Asgard,155,4499.75,,,,"The East and West regions had similar total quantities sold (190 units each) but different total values (?4,400.00 vs. ?5,950.20), suggesting differences in product pricing."
,,,East,190,4400,,,,
,,,North,105,2399.85,,,,"The North region had the lowest total value (?2,399.85), indicating either lower sales volume or lower-priced products."
,,,South,295,8049.9,,,,
,,,West,190,5950.2,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
